"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"acer","Nitro","AMD","Ryzen 5","10th",4,"DDR4",0,512,"Windows","32-bit",4,"Casual",15.6,0,"No","No",883.98,1211.08,27,4.5,425,67
"acer","Nitro","AMD","Ryzen 5","10th",4,"DDR4",0,512,"Windows","32-bit",6,"Casual",16,0,"No","No",1134.79,1683.42,32,4.5,259,47
"acer","Nitro","AMD","Ryzen 7","11th",16,"DDR4",256,1024,"Windows","64-bit",4,"Casual",15.6,0,"No","No",992.98,1452.1,31,4.5,141,24
"acer","Nitro","AMD","Ryzen 7","11th",16,"DDR4",256,1024,"Windows","64-bit",6,"Casual",15.6,1,"No","No",1089.86,1453.19,25,4.4,272,36
"acer","Predator","Intel","Core","11th",4,"DDR4",0,512,"Windows","32-bit",0,"Casual",16,0,"No","No",1210.97,1816.63,33,4.5,1336,186
"acer","Predator","Intel","Core i7","10th",16,"DDR4",2048,0,"Windows","64-bit",8,"Casual",16,1,"No","No",1937.63,1940.05,0,3.8,4,0
"acer","Predator","Intel","Core i7","10th",16,"DDR4",256,1024,"Windows","64-bit",6,"Casual",16,1,"No","No",1453.19,1707.52,14,4.6,2038,313
"acer","Predator","Intel","Core i7","11th",16,"DDR4",1024,0,"Windows","64-bit",6,"Casual",16,1,"No","No",1574.3,1816.52,13,4.5,54,7
"acer","Predator","Intel","Core i7","11th",16,"DDR4",512,1024,"Windows","32-bit",6,"Casual",15.6,1,"No","No",1453.19,1707.52,14,4.5,342,54
"acer","Predator","Intel","Core i7","11th",16,"DDR4",512,1024,"Windows","64-bit",4,"Casual",15.6,1,"No","No",1126.2,1586.41,29,4.5,214,37
"acer","Predator","Intel","Core i9","11th",16,"DDR4",1024,0,"Windows","64-bit",6,"Casual",15.6,1,"No","No",1695.41,2179.96,22,0,0,0
"acer","Predator","Intel","Core i9","11th",32,"DDR4",1024,0,"Windows","64-bit",8,"Casual",15.6,1,"No","No",2058.74,2422.18,15,0,0,0
"acer","Predator","Intel","Genuine Windows","10th",4,"DDR4",0,512,"DOS","32-bit",4,"Casual",15.6,0,"No","No",1574.41,0,0,4.5,3227,693
"acer","Spin","Intel","Core i5","11th",8,"LPDDR4",0,512,"Windows","32-bit",0,"Casual",16,1,"No","No",1453.19,1512.66,3,4,1,1
