"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"HP","Notebook","Intel","Core i3","11th",4,"DDR4","0 GB","1024 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","No",39790,43296,8,3.9,40,3
"HP","OMEN","AMD","Ryzen 7","10th",4,"DDR4","1024 GB","0 GB","Windows","64-bit",8,"Casual","16",1,"No","No",159990,186348,14,4.8,17,2
"HP","OMEN","AMD","Ryzen 9","11th",4,"DDR4","1024 GB","0 GB","Windows","64-bit",8,"Casual","16",1,"No","Yes",141990,163739,13,0.0,0,0
"HP","Omen","Intel","Core i5","10th",8,"LPDDR4","0 GB","512 GB","DOS","32-bit",4,"Casual","15.6",0,"No","No",102551,0,0,0.0,0,0
"HP","OMEN","Intel","Core i7","11th",16,"DDR4","1024 GB","0 GB","Windows","64-bit",4,"Casual","16",0,"No","No",116990,132717,11,0.0,0,0
"HP","OMEN","Intel","Core i7","11th",16,"DDR4","1024 GB","0 GB","Windows","64-bit",4,"Casual","16",0,"No","No",121990,138399,11,0.0,0,0
"HP","Omen","Intel","Core i7","11th",16,"DDR4","1024 GB","0 GB","Windows","64-bit",6,"Casual","16.1",1,"No","Yes",136990,157563,13,0.0,0,0
"HP","OMEN","Intel","Core i7","11th",16,"DDR4","1024 GB","0 GB","Windows","64-bit",8,"Casual","16",1,"No","Yes",171990,197862,13,0.0,0,0
"HP","Pavilion","AMD","Ryzen 5","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","13.3",1,"No","Yes",65990,89992,26,4.4,104,18
"HP","Pavilion","AMD","Ryzen 5","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",59999,74839,19,4.1,19,1
"HP","Pavilion","AMD","Ryzen 5","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",67500,75049,10,4.4,196,19
"HP","Pavilion","AMD","Ryzen 5","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",2,"Casual","14",1,"No","Yes",63990,74839,14,4.2,90,13
"HP","Pavilion","AMD","Ryzen 5","11th",4,"DDR4","0 GB","1024 GB","Windows","64-bit",4,"Gaming","14",1,"No","No",59990,68192,12,4.1,1480,151
"HP","Pavilion","AMD","Ryzen 5","11th",4,"DDR4","256 GB","1024 GB","Windows","64-bit",4,"Gaming","14",1,"No","No",80000,83085,3,4.6,34,6
"HP","Pavilion","AMD","Ryzen 5","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","16",1,"No","Yes",84208,0,0,0.0,0,0
"HP","Pavilion","AMD","Ryzen 5","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",55090,67931,18,4.4,364,52
